Day,Time,Mean ± SD,CV(%),Median,Min,Max
1d,0,0.00 ± 0.00,NaN,0.00,0.00,0.00
1d,0.32999999999999996,955.43 ± 924.32,96.74,688.85,303.74,2793.56
1d,0.6699999999999999,899.72 ± 863.01,95.92,524.51,207.20,2473.60
1d,1,1057.72 ± 984.20,93.05,581.27,290.92,2628.91
1d,1.5,1168.66 ± 843.62,72.19,1034.72,247.85,2730.27
1d,2,1243.97 ± 1075.80,86.48,835.18,190.29,2972.96
1d,3,746.77 ± 548.16,73.40,584.58,131.00,1560.35
1d,4,576.42 ± 412.41,71.55,512.77,88.88,1270.27
5d,-8,357.54 ± 206.32,57.71,313.30,146.34,716.92
5d,0,544.71 ± 397.53,72.98,455.48,84.82,1261.16
5d,0.32999999999999996,1213.65 ± 721.72,59.47,1225.32,199.03,2334.28
5d,0.6699999999999999,1044.79 ± 594.62,56.91,1052.41,152.64,1949.06
5d,1,914.20 ± 521.74,57.07,878.23,196.73,1779.44
5d,1.5,889.08 ± 501.90,56.45,759.22,249.76,1513.30
5d,2,1029.20 ± 780.92,75.88,780.92,242.96,2409.63
5d,3,708.77 ± 441.44,62.28,616.38,186.90,1328.13
5d,4,453.40 ± 231.24,51.00,413.39,157.27,760.83
5d,6,458.52 ± 260.00,56.70,399.80,170.40,900.81
