Day,param,N,Mean ± SD,CV(%),Median,Min,Max
1d,AUCLST,6,3557.58 ± 2411.13,67.77,3194.61,811.29,7486.01
1d,CMAX,6,1680.16 ± 1097.72,65.33,1578.63,400.94,2972.96
1d,CLFO,4,611.86 ± 587.89,96.08,417.06,164.44,1448.89
1d,TMAX,6,1.08 ± 0.84,77.97,0.92,0.33,2.00
1d,LAMZHL,4,3.52 ± 3.58,101.53,1.89,1.44,8.88
1d,VZFO,4,1924.52 ± 1286.93,66.87,1667.17,712.36,3651.36
5d,AUCt,6,3382.07 ± 1893.33,55.98,3193.60,786.09,5586.70
5d,AUCLST,6,4293.99 ± 2344.59,54.60,3937.65,1113.76,7121.12
5d,AUCIFO,6,7597.22 ± 4680.12,61.60,5722.40,3212.94,16233.03
5d,CMAX,6,1411.92 ± 859.68,60.89,1360.15,249.76,2409.63
5d,CLFO,6,254.52 ± 127.64,50.15,262.19,92.40,466.86
5d,TMAX,6,0.80 ± 0.75,93.38,0.33,0.33,2.00
5d,LAMZHL,6,4.95 ± 2.39,48.30,4.33,2.57,8.54
5d,VZFO,6,1946.49 ± 1909.28,98.09,1224.87,674.78,5751.52
